level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	2340	-1	
2	1	1	0	0	0	57	30	968	35	-1	
3	1	1	1	0	0	57	30	968	35	-1	
4	1	1	1	1	0	57	30	968	35	-1	
5	1	1	1	1	1	57	30	105	35	92.179207	0:49
5	1	1	1	1	2	189	30	20	34	35.442230	心
5	1	1	1	1	3	208	25	28	47	56.187721	回
5	1	1	1	1	4	247	36	18	20	73.011765	«
5	1	1	1	1	5	353	44	34	6	0.000000	000
5	1	1	1	1	6	806	31	219	34	19.535614	cell
5	1	1	1	1	7	882	26	32	48	58.232189	ZS
5	1	1	1	1	8	934	31	60	34	79.949226	Goo)
5	1	1	1	1	9	1010	26	16	48	88.696358	4
2	1	2	0	0	0	60	121	482	74	-1	
3	1	2	1	0	0	60	121	482	74	-1	
4	1	2	1	1	0	60	121	482	74	-1	
5	1	2	1	1	1	60	133	53	62	43.635399	G
5	1	2	1	1	2	157	121	89	43	93.175949	万
5	1	2	1	1	3	231	117	46	66	91.003120	象
5	1	2	1	1	4	289	121	131	43	65.620445	”运行
5	1	2	1	1	5	429	121	67	43	93.298607	仪表
5	1	2	1	1	6	507	121	35	42	76.921127	盘
2	1	3	0	0	0	103	141	919	479	-1	
3	1	3	1	0	0	103	141	919	479	-1	
4	1	3	1	1	0	848	141	174	53	-1	
5	1	3	1	1	1	848	141	49	53	46.434006	a)
5	1	3	1	1	2	985	145	37	37	53.430195	Cc
4	1	3	1	2	0	158	182	307	22	-1	
5	1	3	1	2	1	158	182	100	22	92.886230	Ubuntu
5	1	3	1	2	2	281	193	3	3	86.002296	-
5	1	3	1	2	3	305	184	160	20	89.850578	arm64-v8a
4	1	3	1	3	0	164	345	499	41	-1	
5	1	3	1	3	1	164	346	112	36	95.675888	Linux
5	1	3	1	3	2	295	345	173	41	27.211533	74512
5	1	3	1	3	3	497	363	7	6	90.470551	-
5	1	3	1	3	4	535	345	128	41	96.140579	已
5	1	3	1	3	5	598	341	40	57	92.891190	就
5	1	3	1	3	6	637	341	29	57	93.023643	绪
4	1	3	1	4	0	103	387	856	56	-1	
5	1	3	1	4	1	103	404	22	22	62.083023	@
5	1	3	1	4	2	164	406	114	26	93.284462	Ubuntu
5	1	3	1	4	3	303	419	3	3	89.016937	-
5	1	3	1	4	4	331	406	204	33	89.016937	proot-distro
5	1	3	1	4	5	550	408	78	24	88.773994	5.8.0
5	1	3	1	4	6	653	419	3	3	88.773994	-
5	1	3	1	4	7	903	387	56	56	73.138222	@
4	1	3	1	5	0	164	456	210	32	-1	
5	1	3	1	5	1	164	456	210	32	92.965347	Link2Symlink
4	1	3	1	6	0	235	567	715	53	-1	
5	1	3	1	6	1	235	567	73	36	96.302490	当前
5	1	3	1	6	2	324	563	82	65	79.973236	模式
5	1	3	1	6	3	410	583	5	5	63.624161	-
5	1	3	1	6	4	441	571	114	28	93.204117	PRoot
5	1	3	1	6	5	815	596	22	22	88.728989	@
5	1	3	1	6	6	875	595	27	24	89.183823	已
5	1	3	1	6	7	905	595	45	25	95.708328	激活
2	1	4	0	0	0	235	624	539	26	-1	
3	1	4	1	0	0	235	624	539	26	-1	
4	1	4	1	1	0	235	624	539	26	-1	
5	1	4	1	1	1	235	625	24	24	93.016006	无
5	1	4	1	1	2	274	624	26	25	93.161156	需
5	1	4	1	1	3	302	624	27	25	92.984818	任
5	1	4	1	1	4	330	625	16	23	92.961418	何
5	1	4	1	1	5	361	624	57	25	95.318932	特殊
5	1	4	1	1	6	418	625	54	25	93.226219	权限
5	1	4	1	1	7	471	620	12	41	83.189621	,
5	1	4	1	1	8	497	625	15	24	84.058350	开
5	1	4	1	1	9	517	624	96	25	92.321388	箱
5	1	4	1	1	10	559	620	29	41	93.155128	即
5	1	4	1	1	11	587	620	19	41	93.280296	用
5	1	4	1	1	12	626	624	5	6	88.930840	。
5	1	4	1	1	13	625	624	53	24	85.964981	通
5	1	4	1	1	14	666	620	22	41	94.758324	过
5	1	4	1	1	15	693	626	81	20	86.005516	PRo...
2	1	5	0	0	0	483	768	187	36	-1	
3	1	5	1	0	0	413	768	257	36	-1	
4	1	5	1	1	0	483	768	187	36	-1	
5	1	5	1	1	1	483	768	73	36	96.309227	进入
5	1	5	1	1	2	568	768	63	36	92.939377	控制
5	1	5	1	1	3	646	768	24	36	91.903748	台
2	1	6	0	0	0	114	1011	878	88	-1	
3	1	6	1	0	0	114	1011	878	88	-1	
4	1	6	1	1	0	279	1014	348	35	-1	
5	1	6	1	1	1	279	1015	107	30	92.425964	bChat
5	1	6	1	1	2	403	1014	224	35	96.618179	电脑
5	1	6	1	1	3	498	1010	29	51	93.230721	大
5	1	6	1	1	4	526	1010	40	51	92.256454	屏
5	1	6	1	1	5	565	1010	36	51	91.823280	协
5	1	6	1	1	6	600	1010	29	51	92.762932	作
4	1	6	1	2	0	114	1011	878	88	-1	
5	1	6	1	2	1	114	1032	47	47	0.000000	°
5	1	6	1	2	2	849	1011	143	88	0.000000	oe
2	1	7	0	0	0	218	1069	418	29	-1	
3	1	7	1	0	0	218	1069	418	29	-1	
4	1	7	1	1	0	218	1069	418	29	-1	
5	1	7	1	1	1	218	1069	63	29	59.934650	默认
5	1	7	1	1	2	293	1069	55	29	84.340828	关闭
5	1	7	1	1	3	378	1082	1	3	21.596130	，
5	1	7	1	1	4	404	1069	27	29	65.966705	按
5	1	7	1	1	5	446	1070	19	28	88.409264	需
5	1	7	1	1	6	478	1071	21	27	92.443985	开
5	1	7	1	1	7	513	1069	19	29	85.716965	启
5	1	7	1	1	8	551	1069	34	29	92.285446	免
5	1	7	1	1	9	590	1070	12	28	89.075356	耗
5	1	7	1	1	10	619	1069	17	28	93.189011	电
2	1	8	0	0	0	90	1160	887	83	-1	
3	1	8	1	0	0	90	1160	887	83	-1	
4	1	8	1	1	0	91	1160	886	31	-1	
5	1	8	1	1	1	91	1160	178	31	93.293648	无
5	1	8	1	1	2	138	1156	33	46	92.926254	需
5	1	8	1	1	3	170	1156	35	46	93.175156	数
5	1	8	1	1	4	204	1156	36	46	92.885132	据
5	1	8	1	1	5	239	1156	27	46	93.090820	线
5	1	8	1	1	6	265	1156	12	46	90.664108	,
5	1	8	1	1	7	299	1160	39	29	96.180443	在
5	1	8	1	1	8	355	1156	46	46	94.826561	同一
5	1	8	1	1	9	400	1160	89	26	86.564232	Wi-Fi
5	1	8	1	1	10	515	1160	32	29	96.460648	下
5	1	8	1	1	11	552	1160	39	29	96.689812	使
5	1	8	1	1	12	590	1156	26	46	97.006691	用
5	1	8	1	1	13	616	1160	75	29	96.743057	电脑
5	1	8	1	1	14	696	1156	61	46	96.931793	浏览
5	1	8	1	1	15	756	1161	17	28	96.851585	器
5	1	8	1	1	16	785	1160	56	29	93.053246	直接
5	1	8	1	1	17	857	1160	18	28	92.352310	连
5	1	8	1	1	18	889	1160	20	28	80.562065	入
5	1	8	1	1	19	920	1162	23	27	93.186684	万
5	1	8	1	1	20	961	1160	16	29	90.449860	象
4	1	8	1	2	0	90	1209	545	34	-1	
5	1	8	1	2	1	90	1212	110	31	90.430481	Agent,
5	1	8	1	2	2	217	1209	418	30	24.211609	BAB
5	1	8	1	2	3	398	1205	100	48	17.200287	SEW
5	1	8	1	2	4	534	1205	104	48	58.670650	LIEK.
2	1	9	0	0	0	119	1387	495	90	-1	
3	1	9	1	0	0	119	1387	495	90	-1	
4	1	9	1	1	0	119	1387	495	67	-1	
5	1	9	1	1	1	119	1409	37	45	30.046783	g
5	1	9	1	1	2	232	1387	70	41	84.749802	环境
5	1	9	1	1	3	325	1387	66	41	96.855225	体检
5	1	9	1	1	4	410	1387	52	41	92.433189	与
5	1	9	1	1	5	485	1387	129	41	93.092628	自
5	1	9	1	1	6	508	1383	39	75	0.000000	愈
5	1	9	1	1	7	546	1387	43	41	93.193878	中
5	1	9	1	1	8	588	1383	29	75	91.750114	心
4	1	9	1	2	0	218	1448	349	29	-1	
5	1	9	1	2	1	218	1450	17	24	96.807785	4
5	1	9	1	2	2	258	1449	22	28	93.094452	项
5	1	9	1	2	3	298	1448	36	29	92.656509	待
5	1	9	1	2	4	334	1448	36	29	92.815704	就
5	1	9	1	2	5	370	1432	28	64	88.653160	绪
5	1	9	1	2	6	434	1448	30	29	45.631256	点
5	1	9	1	2	7	482	1448	17	29	93.220520	击
5	1	9	1	2	8	518	1449	49	28	96.951607	展开
2	1	10	0	0	0	85	1716	906	40	-1	
3	1	10	1	0	0	85	1716	906	40	-1	
4	1	10	1	1	0	85	1716	906	40	-1	
5	1	10	1	1	1	85	1721	83	31	96.863998	运行
5	1	10	1	1	2	184	1721	17	30	93.288559	内
5	1	10	1	1	3	201	1711	27	48	91.584251	存
5	1	10	1	1	4	230	1722	102	29	84.773819	(RAM)
5	1	10	1	1	5	442	1716	40	40	8.059250	回
5	1	10	1	1	6	597	1721	30	31	91.219444	沙
5	1	10	1	1	7	642	1721	37	31	90.918495	箱
5	1	10	1	1	8	696	1721	30	31	94.627121	存储
5	1	10	1	1	9	742	1722	97	29	95.072777	(Disk)
5	1	10	1	1	10	959	1721	32	30	96.917122	=
2	1	11	0	0	0	83	1793	911	213	-1	
3	1	11	1	0	0	83	1793	911	213	-1	
4	1	11	1	1	0	86	1793	694	33	-1	
5	1	11	1	1	1	86	1793	101	32	96.636246	3789
5	1	11	1	1	2	218	1793	50	32	96.146278	MB
5	1	11	1	1	3	598	1793	102	33	95.857979	77.4
5	1	11	1	1	4	731	1793	49	32	95.423714	GB
4	1	11	1	2	0	83	1851	911	40	-1	
5	1	11	1	2	1	83	1851	213	40	39.801018	ED
5	1	11	1	2	2	470	1866	11	11	50.566982	e
5	1	11	1	2	3	591	1851	154	40	58.079102	a=»
5	1	11	1	2	4	983	1866	11	11	55.883507	e
4	1	11	1	3	0	87	1912	883	25	-1	
5	1	11	1	3	1	87	1912	43	25	96.216835	已
5	1	11	1	3	2	144	1908	34	37	95.338318	占用
5	1	11	1	3	3	183	1914	56	20	90.960953	50%
5	1	11	1	3	4	261	1923	3	3	86.064697	-
5	1	11	1	3	5	285	1912	53	24	93.217102	总
5	1	11	1	3	6	328	1908	24	37	91.643768	量
5	1	11	1	3	7	353	1914	67	20	92.687210	7498
