level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	2340	-1	
2	1	1	0	0	0	54	29	968	36	-1	
3	1	1	1	0	0	54	29	968	36	-1	
4	1	1	1	1	0	54	29	968	36	-1	
5	1	1	1	1	1	54	29	115	36	64.794769	548C
5	1	1	1	1	2	193	38	17	18	53.930435	加
5	1	1	1	1	3	235	30	84	34	52.774052	日
5	1	1	1	1	4	316	24	32	70	34.833641	日
5	1	1	1	1	5	349	44	34	6	53.332867	…
5	1	1	1	1	6	803	31	219	33	28.313187	“aul
5	1	1	1	1	7	886	15	18	70	1.214142	>
5	1	1	1	1	8	927	31	65	33	53.384899	Coo)
5	1	1	1	1	9	1003	15	24	70	53.384899	4
2	1	2	0	0	0	169	671	536	63	-1	
3	1	2	1	0	0	169	671	536	63	-1	
4	1	2	1	1	0	169	671	536	63	-1	
5	1	2	1	1	1	169	671	53	57	90.188614	为
5	1	2	1	1	2	243	673	326	61	91.933380	github.com
5	1	2	1	1	3	590	672	115	56	95.478554	登录
2	1	3	0	0	0	168	794	728	81	-1	
3	1	3	1	0	0	168	794	728	81	-1	
4	1	3	1	1	0	170	794	631	33	-1	
5	1	3	1	1	1	170	794	26	29	93.210045	为
5	1	3	1	1	2	214	794	183	33	90.456223	github.com
5	1	3	1	1	3	419	794	22	29	81.831650	填
5	1	3	1	1	4	454	795	33	25	90.951202	一
5	1	3	1	1	5	493	794	16	29	96.495461	次
5	1	3	1	1	6	526	795	15	28	90.787476	用
5	1	3	1	1	7	562	794	36	29	92.802536	户
5	1	3	1	1	8	617	795	9	28	92.818314	名
5	1	3	1	1	9	632	797	13	25	94.263504	和
5	1	3	1	1	10	662	794	139	26	96.133881	Personal
4	1	3	1	2	0	168	843	728	32	-1	
5	1	3	1	2	1	168	846	111	24	96.025742	Access
5	1	3	1	2	2	293	844	95	26	95.974281	Token
5	1	3	1	2	3	405	844	103	31	84.260033	(PAT),
5	1	3	1	2	4	535	843	54	30	96.519745	保存
5	1	3	1	2	5	606	845	18	28	96.992012	后
5	1	3	1	2	6	639	844	73	29	93.123535	自动
5	1	3	1	2	7	711	839	34	44	91.170807	重
5	1	3	1	2	8	744	844	36	29	92.514870	跑
5	1	3	1	2	9	785	844	8	29	92.762871	刚
5	1	3	1	2	10	810	844	34	29	92.418129	才
5	1	3	1	2	11	851	846	11	27	92.270393	那
5	1	3	1	2	12	876	844	20	29	96.711960	条
2	1	4	0	0	0	169	893	132	34	-1	
3	1	4	1	0	0	169	893	132	34	-1	
4	1	4	1	1	0	190	893	84	15	-1	
5	1	4	1	1	1	190	894	3	4	40.979862	Ay
5	1	4	1	1	2	223	893	51	15	27.721367	Lah
4	1	4	1	2	0	169	893	132	34	-1	
5	1	4	1	2	1	169	897	39	30	96.420990	git
5	1	4	1	2	2	225	893	61	30	93.188316	命令
5	1	4	1	2	3	293	915	8	8	89.704018	。
2	1	5	0	0	0	214	1015	603	110	-1	
3	1	5	1	0	0	214	1015	603	110	-1	
4	1	5	1	1	0	214	1015	603	40	-1	
5	1	5	1	1	1	214	1017	36	37	93.092415	用
5	1	5	1	1	2	270	1015	25	39	90.343437	户
5	1	5	1	1	3	318	1015	21	40	79.883423	名
5	1	5	1	1	4	366	1015	300	39	81.010849	(Gitee/GitHub
5	1	5	1	1	5	696	1017	51	37	96.751450	用
5	1	5	1	1	6	750	1015	67	39	94.555954	账号
4	1	5	1	2	0	214	1084	506	41	-1	
5	1	5	1	2	1	214	1084	56	41	93.029526	名
5	1	5	1	2	2	256	1079	24	53	88.904068	;
5	1	5	1	2	3	293	1085	135	35	92.461937	GitLab
5	1	5	1	2	4	450	1084	83	39	93.104065	可
5	1	5	1	2	5	511	1079	37	53	7.604065	填
5	1	5	1	2	6	554	1084	166	39	92.147865	oauth2)
2	1	6	0	0	0	214	1263	631	39	-1	
3	1	6	1	0	0	214	1263	631	39	-1	
4	1	6	1	1	0	214	1263	631	39	-1	
5	1	6	1	1	1	214	1264	184	35	91.133049	Personal
5	1	6	1	1	2	414	1266	149	33	91.134178	Access
5	1	6	1	1	3	580	1264	127	35	92.030876	Token
5	1	6	1	1	4	728	1265	15	34	92.030876	/
5	1	6	1	1	5	762	1263	83	39	88.363129	密码
2	1	7	0	0	0	220	1436	53	25	-1	
3	1	7	1	0	0	220	1436	53	25	-1	
4	1	7	1	1	0	220	1436	53	25	-1	
5	1	7	1	1	1	220	1436	53	25	96.957588	显示
2	1	8	0	0	0	486	1629	377	36	-1	
3	1	8	1	0	0	486	1629	377	36	-1	
4	1	8	1	1	0	486	1629	377	36	-1	
5	1	8	1	1	1	486	1629	72	36	96.868889	取消
5	1	8	1	1	2	676	1630	187	35	96.186241	保存
5	1	8	1	1	3	764	1626	36	55	92.955086	并
5	1	8	1	1	4	799	1626	42	55	91.550789	重
5	1	8	1	1	5	840	1626	25	55	91.770699	试
2	1	9	0	0	0	96	588	888	1194	-1	
3	1	9	1	0	0	96	588	888	1194	-1	
4	1	9	1	1	0	96	588	888	1194	-1	
5	1	9	1	1	1	96	588	888	1194	95.000000	 
