level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	2340	-1	
2	1	1	0	0	0	54	25	968	38	-1	
3	1	1	1	0	0	54	25	968	38	-1	
4	1	1	1	1	0	54	25	968	38	-1	
5	1	1	1	1	1	54	27	328	35	27.410698	958GO8°O::
5	1	1	1	1	2	767	25	255	38	14.062073	Bul
5	1	1	1	1	3	891	20	32	50	93.409325	会
5	1	1	1	1	4	929	25	64	38	69.764366	Good
5	1	1	1	1	5	1008	20	18	50	85.102654	+
2	1	2	0	0	0	49	117	953	74	-1	
3	1	2	1	0	0	49	117	953	74	-1	
4	1	2	1	1	0	49	117	953	74	-1	
5	1	2	1	1	1	49	126	53	65	22.167999	MF
5	1	2	1	1	2	140	117	38	41	91.407753	智
5	1	2	1	1	3	204	117	21	41	88.036697	枢
5	1	2	1	1	4	679	126	48	58	40.957027	Vy
5	1	2	1	1	5	824	139	38	38	34.407585	A
5	1	2	1	1	6	961	147	41	23	91.532417	三
2	1	3	0	0	0	141	176	315	27	-1	
3	1	3	1	0	0	141	176	315	27	-1	
4	1	3	1	1	0	141	176	315	27	-1	
5	1	3	1	1	1	141	176	58	27	96.099091	默认
5	1	3	1	1	2	217	176	46	27	96.586044	工作
5	1	3	1	1	3	282	178	12	24	89.903137	区
5	1	3	1	1	4	318	188	4	3	87.904846	-
5	1	3	1	1	5	347	177	109	23	96.515823	Ubuntu
2	1	4	0	0	0	51	287	937	29	-1	
3	1	4	1	0	0	51	287	937	29	-1	
4	1	4	1	1	0	51	287	937	29	-1	
5	1	4	1	1	1	51	288	162	28	21.102913	GAREY
5	1	4	1	1	2	271	289	158	27	0.000000	CHR
5	1	4	1	1	3	486	287	99	29	69.995285	KER
5	1	4	1	1	4	642	289	162	27	0.000000	BORK
5	1	4	1	1	5	860	289	128	27	12.172348	Oi
2	1	5	0	0	0	69	487	898	79	-1	
3	1	5	1	0	0	69	487	898	79	-1	
4	1	5	1	1	0	70	487	897	33	-1	
5	1	5	1	1	1	70	487	96	29	93.265564	当前
5	1	5	1	1	2	152	480	24	46	91.734543	仅
5	1	5	1	1	3	183	487	80	26	94.916298	Linux
5	1	5	1	1	4	279	487	146	29	92.268074	沙
5	1	5	1	1	5	324	480	33	46	91.761536	箱
5	1	5	1	1	6	356	480	32	46	96.757614	可
5	1	5	1	1	7	388	480	26	46	90.794548	用
5	1	5	1	1	8	413	480	16	46	83.223419	。
5	1	5	1	1	9	441	487	63	28	83.223419	想
5	1	5	1	1	10	488	480	24	46	92.452629	让
5	1	5	1	1	11	519	489	97	31	94.735550	Agent
5	1	5	1	1	12	641	487	53	29	96.361374	操作
5	1	5	1	1	13	710	487	52	29	96.711159	手机
5	1	5	1	1	14	779	487	17	29	95.892670	应
5	1	5	1	1	15	810	488	18	28	96.958412	用
5	1	5	1	1	16	845	487	41	29	96.662666	与
5	1	5	1	1	17	904	487	42	29	93.180267	系统
5	1	5	1	1	18	946	488	21	28	93.183228	设
4	1	5	1	2	0	69	537	627	29	-1	
5	1	5	1	2	1	69	538	47	27	92.498009	置
5	1	5	1	2	2	111	531	12	44	91.947876	?
5	1	5	1	2	3	142	537	31	29	97.010948	到
5	1	5	1	2	4	171	537	157	29	96.100349	设置
5	1	5	1	2	5	246	531	31	44	96.932915	页
5	1	5	1	2	6	276	537	52	29	94.431015	完成
5	1	5	1	2	7	344	537	122	26	92.325073	Shizuku
5	1	5	1	2	8	483	537	29	29	93.605293	或
5	1	5	1	2	9	529	539	73	24	96.173508	Root
5	1	5	1	2	10	617	537	79	29	93.296844	授权
