level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	2340	-1	
2	1	1	0	0	0	57	29	968	36	-1	
3	1	1	1	0	0	57	29	968	36	-1	
4	1	1	1	1	0	57	29	968	36	-1	
5	1	1	1	1	1	57	29	162	36	83.771011	7:38G
5	1	1	1	1	2	192	25	23	54	46.076050	@
5	1	1	1	1	3	243	36	18	20	34.459755	”
5	1	1	1	1	4	349	44	34	6	21.267578	ae
5	1	1	1	1	5	806	31	219	34	39.421612	cull
5	1	1	1	1	6	888	27	32	51	47.197685	会
5	1	1	1	1	7	938	31	87	34	8.968048	Gos
2	1	2	0	0	0	49	99	953	92	-1	
3	1	2	1	0	0	49	99	953	92	-1	
4	1	2	1	1	0	49	99	953	92	-1	
5	1	2	1	1	1	49	126	53	65	22.167999	MF
5	1	2	1	1	2	140	117	38	41	91.278549	智
5	1	2	1	1	3	204	117	21	41	89.056046	枢
5	1	2	1	1	4	683	99	77	85	24.827431	end
5	1	2	1	1	5	823	138	40	40	81.825363	Z
5	1	2	1	1	6	961	147	41	23	91.532417	三
2	1	3	0	0	0	140	177	313	29	-1	
3	1	3	1	0	0	140	177	313	29	-1	
4	1	3	1	1	0	140	177	313	29	-1	
5	1	3	1	1	1	140	177	152	29	92.186417	Wanxiang
5	1	3	1	1	2	315	188	4	3	78.930374	-
5	1	3	1	1	3	344	177	109	23	96.804222	Ubuntu
2	1	4	0	0	0	51	287	937	29	-1	
3	1	4	1	0	0	51	287	937	29	-1	
4	1	4	1	1	0	51	287	937	29	-1	
5	1	4	1	1	1	51	288	162	28	21.102913	GAREY
5	1	4	1	1	2	271	289	158	27	0.000000	CHR
5	1	4	1	1	3	486	287	99	29	69.995285	KER
5	1	4	1	1	4	642	289	162	27	0.000000	BORK
5	1	4	1	1	5	859	289	129	27	12.172348	Oi
2	1	5	0	0	0	69	486	898	80	-1	
3	1	5	1	0	0	69	486	898	80	-1	
4	1	5	1	1	0	70	486	897	34	-1	
5	1	5	1	1	1	70	487	96	29	93.298775	当前
5	1	5	1	1	2	148	481	26	44	92.969093	仅
5	1	5	1	1	3	182	487	81	26	96.285484	Linux
5	1	5	1	1	4	279	486	146	30	91.317673	沙
5	1	5	1	1	5	324	481	34	44	92.277756	箱
5	1	5	1	1	6	357	481	31	44	90.222702	可
5	1	5	1	1	7	387	481	26	44	92.501854	用
5	1	5	1	1	8	412	481	17	44	79.025070	。
5	1	5	1	1	9	441	487	63	29	70.827393	Mik
5	1	5	1	1	10	519	489	97	31	95.101204	Agent
5	1	5	1	1	11	640	487	54	29	96.456528	操作
5	1	5	1	1	12	712	487	50	29	96.575653	手机
5	1	5	1	1	13	778	487	18	29	96.806190	应
5	1	5	1	1	14	811	488	17	28	95.307228	用
5	1	5	1	1	15	847	487	39	29	96.823074	与
5	1	5	1	1	16	885	481	63	44	93.265930	系统
5	1	5	1	1	17	948	488	19	28	93.036514	设
4	1	5	1	2	0	69	537	627	29	-1	
5	1	5	1	2	1	69	538	47	27	91.748138	置
5	1	5	1	2	2	110	531	12	43	92.660194	?
5	1	5	1	2	3	140	537	33	29	96.968445	到
5	1	5	1	2	4	171	537	157	29	96.369461	设置
5	1	5	1	2	5	245	531	30	43	96.822464	页
5	1	5	1	2	6	274	537	54	29	93.953461	完成
5	1	5	1	2	7	344	537	122	26	93.102989	Shizuku
5	1	5	1	2	8	483	537	29	29	95.937950	或
5	1	5	1	2	9	528	539	74	24	96.410004	Root
5	1	5	1	2	10	617	537	79	29	93.264389	授权
5	1	5	1	2	11	680	531	20	43	91.328262	。
2	1	6	0	0	0	34	655	986	181	-1	
3	1	6	1	0	0	34	655	986	181	-1	
4	1	6	1	1	0	36	655	984	35	-1	
5	1	6	1	1	1	36	658	33	32	93.242950	万
5	1	6	1	1	2	90	655	44	35	92.344017	象
5	1	6	1	1	3	151	655	19	35	91.329651	智
5	1	6	1	1	4	169	651	35	49	43.879581	枢
5	1	6	1	1	5	203	655	38	34	96.932137	可
5	1	6	1	1	6	240	656	23	34	96.712929	以
5	1	6	1	1	7	283	655	33	35	96.824707	为
5	1	6	1	1	8	322	655	18	29	96.962471	你
5	1	6	1	1	9	359	655	73	35	96.403984	编写
5	1	6	1	1	10	436	655	56	35	53.152786	代码
5	1	6	1	1	11	509	681	1	8	53.152786	、
5	1	6	1	1	12	527	655	72	35	89.805534	读
5	1	6	1	1	13	583	651	28	49	90.442833	写
5	1	6	1	1	14	617	656	92	30	94.708534	Linux
5	1	6	1	1	15	725	655	204	35	96.458725	工作
5	1	6	1	1	16	812	651	44	49	96.765892	区
5	1	6	1	1	17	855	655	72	35	92.831940	文件
5	1	6	1	1	18	946	655	8	34	92.398018	、
5	1	6	1	1	19	956	655	64	35	92.066299	执
5	1	6	1	1	20	993	651	32	49	75.207314	行
4	1	6	1	2	0	35	713	465	35	-1	
5	1	6	1	2	1	35	714	90	30	96.851227	Shell
5	1	6	1	2	2	156	713	58	35	96.024269	命令
5	1	6	1	2	3	230	713	43	35	96.565849	或
5	1	6	1	2	4	280	709	67	49	96.583153	排查
5	1	6	1	2	5	346	713	60	35	96.337532	系统
5	1	6	1	2	6	426	713	58	35	93.268295	故障
