level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	2340	-1	
2	1	1	0	0	0	54	29	968	36	-1	
3	1	1	1	0	0	54	29	968	36	-1	
4	1	1	1	1	0	54	29	968	36	-1	
5	1	1	1	1	1	54	29	165	36	11.931725	204G6
5	1	1	1	1	2	189	25	23	54	59.642609	6
5	1	1	1	1	3	243	36	18	20	73.993240	¢
5	1	1	1	1	4	349	44	34	6	21.267578	ae
5	1	1	1	1	5	803	31	219	34	44.011986	cll
5	1	1	1	1	6	885	27	32	51	51.930138	会
5	1	1	1	1	7	935	31	87	34	22.411743	Gos
2	1	2	0	0	0	59	143	961	192	-1	
3	1	2	1	0	0	59	143	961	192	-1	
4	1	2	1	1	0	59	143	961	43	-1	
5	1	2	1	1	1	59	145	37	37	80.160385	€
5	1	2	1	1	2	156	144	100	38	61.472382	Git:
5	1	2	1	1	3	289	143	87	43	44.344765	当前
5	1	2	1	1	4	400	143	41	43	93.011986	会
5	1	2	1	1	5	447	144	22	42	91.124275	话
5	1	2	1	1	6	848	150	48	26	70.404205	oe
5	1	2	1	1	7	986	146	34	34	44.491268	Cc
4	1	2	1	2	0	99	299	883	36	-1	
5	1	2	1	2	1	99	299	73	36	96.720551	状态
5	1	2	1	2	2	369	299	35	36	93.264397	分
5	1	2	1	2	3	420	299	22	36	92.949219	支
5	1	2	1	2	4	639	299	73	36	96.757309	历史
5	1	2	1	2	5	909	299	73	36	62.223419	Si
2	1	3	0	0	0	46	456	938	74	-1	
3	1	3	1	0	0	46	456	938	74	-1	
4	1	3	1	1	0	48	456	936	56	-1	
5	1	3	1	1	1	48	457	39	29	95.160049	已
5	1	3	1	1	2	95	457	64	29	96.923393	保存
5	1	3	1	1	3	167	457	7	29	94.020432	的
5	1	3	1	1	4	190	459	105	24	95.128250	HTTPS
5	1	3	1	1	5	308	457	62	29	34.485313	凭证
5	1	3	1	1	6	386	456	155	32	93.207390	(加
5	1	3	1	1	7	443	452	36	48	92.682983	密
5	1	3	1	1	8	479	452	33	48	93.182373	存
5	1	3	1	1	9	512	452	21	48	91.250580	储
5	1	3	1	1	10	533	452	12	48	92.593704	,
5	1	3	1	1	11	569	457	68	29	96.443771	运行
5	1	3	1	1	12	638	457	16	29	97.002808	时
5	1	3	1	1	13	668	459	31	25	96.877655	一
5	1	3	1	1	14	704	457	24	29	96.038612	次
5	1	3	1	1	15	737	457	39	29	96.990845	性
5	1	3	1	1	16	791	458	15	28	95.088753	使
5	1	3	1	1	17	806	452	27	48	96.807861	用
5	1	3	1	1	18	833	459	21	27	96.870705	不
5	1	3	1	1	19	912	476	35	36	93.230240	新
5	1	3	1	1	20	962	476	22	33	92.578964	增
4	1	3	1	2	0	46	496	937	34	-1	
5	1	3	1	2	1	46	501	29	29	91.716934	落
5	1	3	1	2	2	89	501	19	28	67.723572	盘
5	1	3	1	2	3	115	501	7	29	90.641632	)
5	1	3	1	2	4	962	496	21	16	56.660187	=
2	1	4	0	0	0	46	708	881	81	-1	
3	1	4	1	0	0	46	708	881	81	-1	
4	1	4	1	1	0	47	708	880	29	-1	
5	1	4	1	1	1	47	708	42	29	96.819145	还
5	1	4	1	1	2	98	708	46	29	96.595238	没有
5	1	4	1	1	3	161	708	51	29	75.196716	凭证
5	1	4	1	1	4	221	708	29	29	86.930374	。
5	1	4	1	1	5	255	708	35	29	85.789574	添
5	1	4	1	1	6	294	711	11	26	96.632072	加
5	1	4	1	1	7	321	720	19	3	96.672760	一
5	1	4	1	1	8	358	708	16	29	92.304443	个
5	1	4	1	1	9	391	708	336	27	83.548027	GitHub/Gitee/GitLab
5	1	4	1	1	10	744	708	27	29	94.523651	的
5	1	4	1	1	11	789	708	138	26	96.619141	Personal
4	1	4	1	2	0	46	757	636	32	-1	
5	1	4	1	2	1	46	760	111	24	96.154480	Access
5	1	4	1	2	2	171	758	108	31	93.096115	Token,
5	1	4	1	2	3	308	758	37	29	96.432579	就
5	1	4	1	2	4	348	758	12	29	96.971344	能
5	1	4	1	2	5	374	757	55	30	96.390953	克隆
5	1	4	1	2	6	446	758	39	29	96.950470	或
5	1	4	1	2	7	502	758	57	29	94.928505	推送
5	1	4	1	2	8	559	753	40	44	78.087692	私有
5	1	4	1	2	9	611	757	56	30	92.890961	仓库
5	1	4	1	2	10	674	779	8	8	92.472198	。
